Accession,"Abundance: F3: 126, Sample","Abundance: F3: 127C, Sample","Abundance: F3: 128C, Sample","Abundance: F3: 129C, Sample","Abundance: F3: 130C, Sample","Abundance: F3: 131, Sample"
YBL107C,20.579839236035028,21.628750959753244,19.90821640698966,22.49659526532689,22.9,24.497373266904525
YBR002C,11.767185305752701,11.08885201489887,11.368774744043192,12.793590917661938,11.1,14.020509228228375
YBR003W,77.98944027319213,78.0611265603277,74.43718124267193,84.8833195154986,91.5,84.66230572430212
YBR006W,28.32274904761256,29.25919863337177,30.196700338250466,22.56846937160589,20.3,22.263336082186818
YBR011C,180.1245335114353,184.39333622794706,172.84653004518154,195.42569497260007,190.20000000000002,189.04576728611227
YBR015C,47.3234422036548,43.696664375542085,50.053474325583814,55.702432366224734,60.8,54.84946467306925
YBR017C,37.69574513531168,37.16412284201255,38.273160224290194,42.765093236004795,45.2,46.68367358410108
YBR022W,17.421547076049453,18.8290903025263,20.628410282177917,20.9872390334679,26.0,27.116589276573563
YBR025C,168.3064080095538,165.45445531141186,171.56046955377394,179.03839874098816,191.9,188.50651693118044
YBR026C,79.77234713770012,76.4142673501942,80.76459886039733,84.02083024015057,84.1,85.35562760921451
YBR029C,80.17986870673053,82.78212296271037,77.47228400239386,91.49573729316656,97.4,91.9036676333871
YBR030W,14.16137452380628,14.711942277192561,15.998592513110554,16.38729623161192,19.8,17.7952617127514
YBR031W,15.587700015412668,13.174873681067965,26.852943060590704,25.227811303928878,17.3,19.721155837508043
YBR031W; YDR012W,82.2174765518825,84.20940094482607,81.48479273558559,97.31753990176554,120.5,107.54192792641106
YBR034C,30.258476500506944,27.118281660198228,29.733718561343725,35.07456386415183,34.9,32.35502129591164
YBR035C,78.39696184222254,78.82966085838999,82.15354419111753,83.80520792131361,83.8,84.20009113436052
YBR037C,23.6871911998918,26.40464266914038,24.075052399150287,25.299685410207875,24.5,22.95665796709921
YBR039W,109.16484030401749,108.363336026784,118.93487424537491,118.52040125407042,121.5,117.40250584516508
YBR046C,39.32583141143326,40.07357411324839,40.7938387874491,37.59015758391681,36.800000000000004,38.5178824951329
YBR048W,143.9060540638588,146.62536500888555,162.5066036942644,188.59765487609508,184.20000000000002,174.48600770295207
YBR049C,2.750770590955177,2.250707587182444,4.578375349411059,2.9468383574389856,2.3,2.6192160096690373
YBR052C,81.19867262930651,78.33560309534994,81.53623515524188,88.83639536084357,90.4,86.43412831907824
YBR053C,73.35388242547137,73.39502546494946,72.17371477779454,79.42088743829461,72.2,78.65351605506139
YBR054W,3.1582921599855736,2.9643465782402925,3.292314858003458,5.534306183482974,7.5,3.6977167195327585
YBR054W; YDR033W,12.276587267040696,11.802491005956718,9.97982941332298,12.43422038626694,12.6,10.014649448734554
YBR055C,18.032829429595047,16.688173329352757,15.587053155860122,22.28097294648989,24.6,21.415942667293894
YBR056W,33.926170621780514,40.62252718329289,35.54671198250608,36.08080135205782,34.9,36.66902413536652
YBR058C,23.890951984406996,22.177704029797738,22.788991907742684,24.29344792230188,23.200000000000003,27.501768101524892
YBR058C-A,3.3620529445007716,3.2388231132625416,3.292314858003458,2.659341932322987,3.7,3.6977167195327585
YBR059C,3.1073519638567735,3.6779855692981402,3.652411795597586,5.103061545808975,3.5,5.315467784328341
YBR069C,46.508399065594006,44.465198673604384,42.131341698513005,52.036852945995754,62.5,56.929430327806436
YBR072W,61.43387653133228,58.463501959739105,73.71698736748367,65.33356260761067,64.4,64.32486376687194
YBR073W,5.7053019664255515,4.446519867360438,5.1956843852867065,6.396795458830969,3.6,5.084360489357543
YBR074W,6.4184647122287455,6.971703989565131,4.887029867348883,7.115536521620966,9.2,8.165791088968176
YBR078W,126.02604522265014,124.22807975107001,116.77429261981015,132.24835555335935,140.5,125.10608234419166
YBR079C,414.80601707681484,414.34977726958743,438.95816692724225,524.1778570927444,497.5,536.09188856726
YBR080C,230.45344728668925,239.45332915341027,227.06684036292597,257.5967969039348,279.1,255.91281129766298
YBR081C,25.622918652786183,25.96548021310478,24.53803417605702,30.762117487411853,33.0,28.272125751427552
YBR082C,14.976417661867073,12.516129997014566,18.77648317455097,15.812303381379923,12.4,13.866437698247845
YBR082C; YDR059C,30.105655912120547,30.85116253650082,29.579391302374816,31.121488018806847,35.1,33.20241471080456
YBR084C-A,80.48550988350331,70.10130704468247,81.69056241421079,117.80166019128043,121.7,69.56329578621002
YBR084W,56.18703633006592,56.816642749605606,55.96935258605879,66.62729652063268,68.4,67.94554472141444
YBR085C-A,23.636251003763,23.11092424887339,30.55679727584459,25.730930047881873,18.8,26.26919586168064
YBR086C,62.656441238423476,70.10130704468247,61.01070971237658,67.20228937086468,95.9,74.1084059206357
YBR088C,160.15597662894584,156.23204373466427,165.85036097192418,177.81653893424513,186.3,186.7346943364043
YBR092C,53.53814613136835,55.9383178375344,45.93808075307949,63.68045816319369,47.599999999999994,57.2375733877675
YBR092C; YAR071W; YBR093C,12.225647070911897,9.551783418774274,24.538034176057025,18.39977120742391,13.2,14.405688053179706
YBR093C,28.93403140115816,25.196945915042484,22.686107068430076,26.090300579276875,12.5,24.95958785684612
YBR094W,61.63763731584748,57.5851770476679,63.9429276327859,66.84291883946968,72.5,72.95286944578172
YBR096W,16.81026472250386,13.998303286134712,15.947150093454248,16.60291855044892,19.1,15.638260293023958
YBR097W,5.399660789652755,4.446519867360438,4.629817769067363,5.749928502319972,5.9,6.3939684941920625
YBR101C,19.25539413668624,19.762310521601947,17.23321058486185,19.118512270213905,55.9,20.106334662459375
YBR103W,5.043079416751158,5.709111928462785,5.350011644255619,6.32492135255197,6.7,7.472469204055782
YBR106W,109.11390010788867,114.67629633229575,105.14830577748543,124.98907081918038,144.7,133.04076613818904
YBR108W,2.139488237409582,2.634974736213593,2.109139205908465,2.299971400927989,2.3,3.620680954542493
YBR109C,72.53883928741058,71.91285217582931,80.30161708349058,80.7146213513166,85.8,76.57355040032421
YBR110W,8.507012753509528,9.332202190756474,9.31107795779103,9.343633816269955,11.9,11.40129321855934
YBR111C,85.17200792735288,85.69157423394623,78.65545965448887,83.87708202759259,94.9,85.201556079234
YBR112C,33.21300787597732,31.015848457514167,31.53420324931437,36.080801352057826,36.2,38.82602555509396
YBR115C,334.1676866049252,343.4250406198383,322.7497409236516,371.3735071435912,390.80000000000007,371.62053031304225
YBR117C,80.99491184479132,87.55801467209753,84.57133791496383,99.90500772780952,98.2,100.60870907728714
YBR118W,635.5298869029034,663.1902039207586,614.2739331159263,788.8901905183002,808.9,774.979795802074
YBR119W,7.1825676541607395,7.520657059609629,6.738956974975827,9.128011497432956,8.5,10.245756743705353
YBR120C,16.60650393798866,16.46859210133496,20.52552544286531,16.099799806495923,19.3,13.40422310830625
YBR121C,207.37753844034305,197.34862868099722,200.36822456130417,222.8097294648989,236.7,224.5592549466248
YBR123C,3.260172552243173,1.3174873681067965,2.366351304189985,1.7968526569749912,2.5,2.38810871469824
YBR125C,6.622225496743944,6.587436840533982,5.761551001506051,7.331158840457964,7.9,9.090220268851366
YBR126C,52.417461816534754,48.19807954990697,65.17754570453721,57.35553681064172,57.4,59.31753904250468
YBR127C,83.4400412589737,94.03566089862261,105.04542093817281,96.88629526409153,114.29999999999998,109.2367147561969
YBR130C,6.061883339327149,3.89756679731594,5.452896483568227,5.534306183482974,4.5,5.238432019338075
YBR132C,3.4639333367583705,3.4584043412803407,4.578375349411059,2.731216038601987,4.0,3.8517882495132905
YBR139W,82.21747655188251,85.08772585689728,74.54006608198453,71.29911342876765,69.8,72.18251179587907
YBR142W,39.07113043078927,37.16412284201255,41.20537814469952,41.3994852167038,42.49999999999999,46.99181664406215
YBR143C,219.60318551125494,208.76685253792277,223.6201982459536,261.1905022178848,262.2,249.74995009844173
YBR145W,64.38840790680266,57.31070051264564,61.73090358756484,65.69293313900567,66.69999999999999,61.782683522193174
YBR149W,65.91661379066664,70.65026011472696,68.67563024116588,82.5114740082916,86.99999999999999,84.20009113436052
YBR151W,31.175400030825337,31.564801527558668,29.11640952546808,47.86815478181377,40.5,43.75631451447098
YBR152W,8.812653930282327,7.850028901636329,7.9221326270708206,9.199885603711955,9.1,9.321327563822162
YBR154C,7.844790203835133,7.850028901636328,8.127902305696036,9.343633816269953,11.9,10.939078628617745
YBR155W,49.41199024493558,50.778158979116114,46.86404430689297,54.336824346923734,58.5,54.84946467306926
YBR159W,47.476262792041204,46.166953190742326,52.11117111183598,48.58689584460376,56.4,49.37992535876038
YBR160W,13.244450993487888,11.473119163930019,13.169259432013831,11.427982898360945,12.5,14.944938408111566
YBR162C,15.23111864251107,13.339559602081316,16.667343968642506,21.562231883699894,13.100000000000001,20.645585017391234
YBR164C,6.571285300615145,6.258064998507283,7.870690207414516,6.828040096504967,8.3,6.933218849123922
YBR166C,22.87214806183101,20.091682363628646,21.914470773585514,21.921602415094892,23.5,26.731410451622235
YBR169C,122.91869325879338,124.61234690010116,121.60988006750271,129.15776898336236,117.8,126.80086917397752
YBR169C; YPL106C,47.7309637726852,53.248447794316355,48.355874476925784,55.70243236622473,48.4,48.22438888390639
YBR170C,12.633168639942294,11.85738631296117,18.67359833523836,16.60291855044892,17.6,16.71676100288768
