Accession,"Abundance: F3: 126, Sample","Abundance: F3: 127C, Sample","Abundance: F3: 128C, Sample","Abundance: F3: 129C, Sample","Abundance: F3: 130C, Sample","Abundance: F3: 131, Sample"
YAR014C,3.0564117677279743,2.7447653502224925,3.18943001869085,2.01247497581199,2.9,3.8517882495132905
YAR015W,125.66946384974851,129.3882386094883,125.87960089897597,122.25785478057841,125.19999999999999,124.18165316430849
YAR031W,4.839318632235959,5.105263551413837,5.092799545974099,4.09682405790298,3.6,5.084360489357543
YAR042W,7.335388242547138,7.026599296569581,8.899538600540597,5.246809758366974,5.2,5.315467784328341
YAR071W,2.597950002568778,1.921335745155745,2.7778906614404177,2.5155937197649876,3.1,3.466609424561961
YBL001C,23.432490219247804,23.495191397904534,27.93323387337309,25.946552366718876,26.7,25.267730916807185
YBL002W,107.89133540079749,104.24618800145026,92.75068264031617,110.68612366965947,98.4,96.37174200282251
YBL004W,33.72240983726532,32.82739358866101,30.6082396955009,27.16841217346187,32.0,27.0395535115833
YBL005W,16.402743153473462,19.0486715305441,13.580798789264263,9.559256135106954,9.3,9.55243485879296
YBL005W-B,30.105655912120547,27.831920651256077,29.682276141687424,25.29968541020787,27.2,21.87815725723549
YBL007C,94.90158538795359,89.47935041725327,94.75693700691201,87.03954270386859,89.2,89.20741585872781
YBL008W,12.88786962058629,13.888512672125813,8.693768921915382,11.068612366965947,9.0,12.942008518364656
YBL011W,11.767185305752701,10.704584865867721,11.317332324386886,9.846752560222953,12.2,12.248686633452262
YBL015W,10.74838138317671,10.86927078688107,11.883198940606231,15.093562318589926,15.8,21.030763842342566
YBL017C,54.70977064233074,53.41313371532971,55.19771629121422,51.030615458089756,52.5,48.301424648896656
YBL017C; YIL173W; YNR065C,9.169235303183923,8.673458506703078,7.767805368101908,7.474907053015964,9.2,7.549504969046049
YBL018C,3.1073519638567735,2.525184122204693,2.8807755007530256,3.0187124637179856,1.7,2.6192160096690373
YBL022C,192.35018058234718,197.45841929500617,196.09850372983095,180.76337729168412,176.5,194.5923423654114
YBL024W,91.69235303183923,75.92020958715415,84.87999243290166,72.95221787318465,68.3,71.56622567595693
YBL026W,34.18087160242451,35.572158938883504,32.61449406209675,29.32463536183186,32.2,29.658769521252335
YBL029C-A,11.8181255018815,9.826259953796523,10.237041511604502,8.40927043464296,8.8,9.783542153763758
YBL030C,198.61582470618956,200.42276587324636,199.69947310577226,199.306896711666,206.99999999999997,216.39346385765666
YBL032W,24.502234337952594,26.78890981817153,22.48033738980486,22.927839903000887,20.5,18.79672665762486
YBL035C,24.553174534081393,23.16581955587784,27.41880967681005,22.137224733931895,24.1,20.337441957430173
YBL036C,51.55147848234517,52.9739712592941,47.32702608379971,46.14317623111778,47.2,45.605172874237354
YBL039C,154.1450334857475,148.82117728906354,163.4325672480779,133.25459304126537,130.7,135.81405367783861
YBL041W,67.03729810550023,70.15620235168691,63.119848918285044,57.28366270436272,51.2,60.858254342309976
YBL045C,45.84617651591961,40.457841262279544,51.90540143321076,43.84320483018979,44.7,49.84213994870198
YBL046W,9.169235303183923,9.002830348729777,7.870690207414516,7.474907053015963,6.0,8.473934148929239
YBL047C,266.9266277149098,256.19639778976745,248.9813111365115,235.74706859511886,235.2,222.63336082186817
YBL050W,41.41437945271405,38.15223836809265,43.93182638648364,40.10575130368181,39.00000000000001,38.9800970850745
YBL051C,36.16753925144769,40.07357411324839,37.450081509789335,32.34334782554984,36.8,34.12684389068775
YBL055C,6.571285300615145,6.971703989565131,5.710108581849747,6.25304724627297,5.7,5.4695393143088715
YBL056W,66.01849418292424,54.6208304694276,66.56649103525741,69.35851255923467,50.0,57.0064660927967
YBL057C,28.32274904761256,28.76514087033172,31.122663892063937,22.64034347788489,27.400000000000002,30.12098411119393
YBL058W,102.03321284598553,106.66158150964606,89.20115568403118,82.7270963271286,86.20000000000002,82.73641159954548
YBL059C-A,43.50292749399483,48.25297485691142,49.17895319142665,55.98992879134073,46.9,51.1517479535365
YBL061C,24.75693531859659,23.440296090900084,22.017355612898122,21.418483671141896,20.4,19.49004854253725
YBL064C,53.487205935239544,57.74986296868124,55.04338903224531,53.546209177854735,74.2,62.55304117209584
